Date,State,Confirmed,Recovered,Deceased,Other,Tested
30-01-2020,India,1,0,0,0,0
30-01-2020,Kerala,1,0,0,0,0
02-02-2020,India,2,0,0,0,0
02-02-2020,Kerala,2,0,0,0,0
03-02-2020,India,3,0,0,0,0
03-02-2020,Kerala,3,0,0,0,0
14-02-2020,India,3,3,0,0,0
14-02-2020,Kerala,3,3,0,0,0
02-03-2020,Delhi,1,0,0,0,0
02-03-2020,India,5,3,0,0,0
02-03-2020,Kerala,3,3,0,0,0
02-03-2020,Telangana,1,0,0,0,0
03-03-2020,Delhi,1,0,0,0,0
03-03-2020,India,6,3,0,0,0
03-03-2020,Kerala,3,3,0,0,0
03-03-2020,Rajasthan,1,0,0,0,0
03-03-2020,Telangana,1,0,0,0,0
04-03-2020,Delhi,1,0,0,0,0
04-03-2020,Haryana,14,0,0,0,0
04-03-2020,India,28,3,0,0,0
04-03-2020,Kerala,3,3,0,0,0
04-03-2020,Rajasthan,2,0,0,0,0
04-03-2020,Telangana,1,0,0,0,0
04-03-2020,Uttar Pradesh,7,0,0,0,0
05-03-2020,Delhi,2,0,0,0,0
05-03-2020,Haryana,14,0,0,0,0
05-03-2020,India,30,3,0,0,0
05-03-2020,Kerala,3,3,0,0,0
05-03-2020,Rajasthan,2,0,0,0,0
05-03-2020,Telangana,1,0,0,0,0
05-03-2020,Uttar Pradesh,8,0,0,0,0
06-03-2020,Delhi,3,0,0,0,0
06-03-2020,Haryana,14,0,0,0,0
06-03-2020,India,31,3,0,0,0
06-03-2020,Kerala,3,3,0,0,0
06-03-2020,Rajasthan,2,0,0,0,0
06-03-2020,Telangana,1,0,0,0,0
 
 
 
 
